category,count
"Pizza, Desserts, Salads, American, Healthy, Vegetarian Friendly, Kids Friendly",148
"Pizza, Wings, Sandwiches, Desserts, American, Traditional American, Fast Food",145
"Comfort Food, American, Wings",136
"American, Fast Food, wings, Family Meals",134
"Everyday Essentials, Convenience, Home &amp; Personal Care, Snacks, Pizza, American, Alcohol",131
"Cafe, Coffee &amp; Tea, Breakfast and Brunch, Bakery",129
Chinese,126
"Mediterranean, Greek, Vegetarian, Healthy",126
"Desserts, Ice Cream + Frozen Yogurt",126
"Pizza, Wings, Desserts, Sandwiches",124
"Ice Cream + Frozen Yogurt, Desserts, Comfort Food",123
"Comfort Food, American, Chicken",122
"Fast Food, Italian, pizza, wings",120
"Wings, American, Fast Food",118
"Convenience, Everyday Essentials, Grocery, Snacks, Home &amp; Personal Care",118
"Burgers, American, Sandwiches, Alcohol",115
"American, Fast Food, wings",114
"Juice and Smoothies, Breakfast and Brunch, Vegetarian",114
"Breakfast and Brunch, Donuts",113
"Juice and Smoothies, Healthy, Fast Food",111
"Retail, Gift Store, Beauty Supply",110
"American, Healthy, Juice and Smoothies",109
"Indian, Vegetarian, Asian, Healthy",107
"Convenience, Everyday Essentials, Snacks, Home &amp; Personal Care, Alcohol",106
"Asian, Desserts, Juice and Smoothies",100
"Comfort Food, Caribbean, Cajun",98
"Desserts, Bakery",97
"Pizza, Italian, Wings",97
"American, Sandwich",97
"Mexican, Bowls, Salads",95
Indian,95
"Ice Cream + Frozen Yogurt, Desserts",94
"BBQ, American, Chicken",93
"Desserts, Coffee and Tea",91
"Mexican, Tex Mex, Breakfast and Brunch, Family Meals",91
"American, Chicken, Fried Chicken, Sandwich, Burgers",91
"Chinese, Asian, Noodles",90
"Steak, American, Fast Food",88
"Everyday Essentials, Grocery, Convenience, Home &amp; Personal Care, Snacks, Pizza, American, Alcohol",86
"American, Breakfast and Brunch, Burgers, Chicken, Fast Food, Sandwich",86
"American, Fried Chicken, Wings",81
"Deli, Salads, Sandwich, Healthy",80
Sandwich,80
"American, Wings",78
"American, Sandwich, Fast Food, Kids Friendly",77
"American, Fast Food, Burgers, Group Friendly",76
"Sandwich, Deli",73
"Seafood, American, Family Meals",73
Mediterranean,72
"Healthy, Salads, Vegetarian Friendly, Cafe",72
"Everyday Essentials, Convenience, Snacks, Home &amp; Personal Care",71
"American, Deli, Sandwich, Salads, Pasta, Family Meals",71
"Mexican, Latin American, New Mexican, Exclusive to Eats",71
"American, Breakfast and Brunch, Coffee and Tea, Diner, Desserts, Salads, Steak, Sandwich, Family Meals, Healthy",71
"American, Wings, Chicken",70
"American, Fried Chicken, Family Meals, Southern, Sandwich, Fast Food, Group Friendly",70
"Burgers, American, Sandwiches, Steak, Seafood, Salads, BBQ, Healthy, Family Friendly",69
"Flowers, Gifts, Plants, Gift Store",69
"Breakfast and Brunch, American, Comfort Food, Sandwich, Kids Friendly",67
"American, Burgers, Chicken",67
"American, Burgers, Wings",65
"American, Burgers, Fast Food, Fast Food",65
"Halal, Chicken, Middle Eastern",65
"Desserts, Vegetarian, Coffee and Tea, Healthy",65
"Desserts, PIzza, Wings, Sandwiches",64
"Mexican, Latin American, New Mexican, Alcohol",64
"Healthy, Vegetarian, Salads",64
"American, Breakfast and Brunch, burger, Comfort Food, Dinner, Omelette, salad, Traditional American, Family Meals",63
"Juice and Smoothies, Breakfast and Brunch, Vegetarian, Healthy",63
"Caribbean, Seafood, Latin American",63
"Mexican, Tex Mex, New American",61
Thai,61
Fast Food,61
"American, Bar Food, BBQ, burger, Chicken Strips, Comfort Food, Dinner, pasta, salad, Sandwich, Soup, Steak, Traditional American, wings, Family Meals",60
"Everyday Essentials, Convenience, Home &amp; Personal Care, Pharmacy, Baby",60
Desserts,60
"Convenience, Snacks, Everyday Essentials",60
"Latin American, Mexican, Vegetarian",59
"Italian, wings, Pizza, American, Fast Food, pizza, Italian",59
"American, Comfort Food, Deli, Desserts, Dinner, Fast Food, pizza, salad, Sandwich, Convenience, Snacks, Everyday Essentials",59
"Salads, American, Vegetarian",59
wings,57
"Italian, Pasta, Pizza",57
"American, Fried Chicken",57
"Vegetarian, Vegan, Healthy",57
"Burgers, American, Sandwiches, Wings",57
"Bakery, Desserts",56
"Dinner, Healthy, Salads",56
"Fast Food, Family Meals",56
"Chinese, Asian",56
"American, Burgers, Chicken, Desserts",56
"Salads, Juice and Smoothies, Sandwich, Deli, Convenience, Everyday Essentials, Home &amp; Personal Care, Coffee and Tea, Grocery, Snacks",56
"American, Chicken Strips, Wings, Chicken",55
"Mexican, Latin American, New Mexican, Family Meals",55
"Pizza, Italian",55
Italian,53
"American, Comfort Food, Fried Chicken, Family Meals, Sandwich, Family Friendly",53
"Ramen, Japanese, Comfort Food",52
"Salads, Sandwich, Deli, Desserts, Healthy, Family Meals",52
"Seafood, American, Southern, Healthy, Desserts, Alcohol",51
"American, Comfort Food, Seafood",51
"Chinese, Asian, Chicken",51
"Bakery, Breakfast and Brunch, Cafe, Coffee &amp; Tea, Group Friendly",51
"Grocery, Everyday Essentials, Convenience",50
"Mexican, Tacos, Burritos",50
"Mexican, Latin American",50
"American, Barfood, Wings, Seafood, Fish and Chips, Desserts, Fast Food, Bar Food, Sandwich",49
"Italian, Pizza",49
"African, Comfort Food, Steak",49
"Mexican, Latin American, New Mexican, Family Friendly",48
"Latin American, Mexican, Vegetarian, Healthy",48
"Fast Food, Mexican, Tex Mex",47
"American, Sandwich, Burgers",46
"Desserts, Ice Cream &amp; Frozen Yogurt",46
"Sandwich, American, Comfort Food",45
"Kids Friendly, Mexican, Tex Mex",45
"Desserts, Vegetarian, Coffee and Tea",45
"Sandwich, Deli, American, Comfort Food, Kids Friendly",44
"American, Fast Food, Sandwich",44
"American, Comfort Food",43
"Burgers, American, Sandwiches, Desserts",43
"Chinese, Asian, Seafood",43
"Healthy, Pasta, Comfort Food, American, Italian, Noodles, Family Meals",43
"American, Breakfast and Brunch, Coffee and Tea, Dinner, Desserts, Salads, Steak, Sandwich, Family Meals, Healthy",43
"Burgers, American",42
"Seafood, American, Southern, Healthy, Desserts",42
"American, burger, Pizza",42
"Mexican, New Mexican",41
"European, Modern European, Seafood",41
"Seafood, American, Family Meals, Family Friendly",40
"American, Burgers, Comfort Food",40
"Soul Food, American, Burgers",39
"Alcohol, Drinks, Wine, Liquor Stores",39
"Pharmacy, Convenience, Everyday Essentials",39
"Breakfast and Brunch, Family Meals, Sandwich, Salads, Pasta, Cafe",39
"Fast Food, Mexican, Tacos",38
"Burritos, Fast Food, Mexican, Group Friendly",38
"Burgers, American, Sandwiches, Family Friendly",37
"American, burger, Fast Food, Hot Dog, Sandwich",37
Seafood,37
"Italian, Family Meals",36
"American, BBQ",36
"American, Family Meals, Family Friendly",36
"Burgers, American, Sandwiches, Exclusive to Eats",36
"Asian, Chinese, Family Meals, Group Friendly",36
"American, Sandwiches, Burgers",36
"Mexican, Tacos",36
"American, Burgers, Pizza",36
"Fast Food, American, Burgers",36
"American, Burgers, Pizza, Family Meals",36
"American, Family Meals",35
"American, Deli, Sandwich",34
Vietnamese,34
"Pizza, Wings, Desserts",34
"Wings, Chicken, Fried Chicken",34
"Burgers, American, Sandwiches, Allergy Friendly",34
"Breakfast and Brunch, Sandwich, American, Comfort Food, Cafe",34
"Sandwich, New American, Comfort Food",33
Ice Cream + Frozen Yogurt,33
"Chinese, Asian, Asian Fusion, Family Meals",33
"Breakfast and Brunch, Family Meals",33
"Wings, Chicken, American",33
"Sandwich, Family Meals",33
Convenience,33
"Healthy, Mexican, salad, Family Meals",33
"American, Chicken, Wings",33
"Chinese, Asian, Asian Fusion, Family Friendly",32
"Mexican, Burritos, Tacos",32
"Chicken, Wings, Sandwiches, Comfort Food, Family Meals",32
"Snacks, Everyday Essentials, Convenience, Home &amp; Personal Care",32
"Mexican, Latin American, New Mexican, Allergy Friendly",32
"American, Burgers, Fast Food, Group Friendly",32
"American, Breakfast and Brunch, Juice and Smoothies, Healthy, Family Meals",32
"Italian, Pizza, Pasta",32
"Japanese, Sushi",31
"Middle Eastern, Arabian, Chicken",31
"American, Breakfast and Brunch, burger, Comfort Food, Dinner, Omelette, salad, Traditional American, Family Meals, Family Friendly",31
"Indian, Vegetarian, Asian, Alcohol",31
Coffee and Tea,30
"Pizza, American, Comfort Food",30
"Sandwiches, American, Cheese",30
"Salads, Sandwich, Deli, Healthy, Family Meals",30
"American, Bar Food, burger, Sandwiches, Burgers",30
"Mexican, Tex Mex",30
"Salads, Juice and Smoothies, Sandwich, Deli, Convenience, Everyday Essentials, Home &amp; Personal Care, Coffee and Tea, Snacks",29
"Bakery, Comfort Food, Desserts, Pretzel, Family Meals",29
"Japanese, Sushi, Asian",29
"American, Seafood",29
"Cafe, Coffee &amp; Tea, Breakfast and Brunch, Bakery, Group Friendly",29
"Mexican, Exclusive to Eats",29
Juice and Smoothies,29
"Ice Cream &amp; Frozen Yogurt, Desserts",28
"American, Fried Chicken, Southern, Sandwich, Fast Food",28
"American, Sandwich, Salads",28
"Breakfast and Brunch, American",28
"Bar Food, To Share, Wings, Burgers",28
BBQ,28
"American, Desserts",28
"Breakfast and Brunch, American, Sandwiches, Alcohol",28
"Juice and Smoothies, Breakfast and Brunch, Bowls, Healthy",28
"American, Bar Food, BBQ, burger, Chicken Strips, Comfort Food, Dinner, pasta, salad, Sandwich, Soup, Steak, Traditional American, wings",28
Japanese,28
"Flowers, florist",28
"Spanish, Seafood, Mediterranean",27
"American, Bakery, Breakfast &amp; Brunch",27
"Alcohol, Drinks, Wine",27
"Bakery, Cafe, Salads",27
"Italian, pasta, pizza",27
"Ice Cream + Frozen Yogurt, Desserts, Cupcakes",27
"American, Wings, Comfort Food",27
"Breakfast and Brunch, Bakery, Desserts",27
"Mexican, Fast Food",26
"Mexican, New Mexican, Latin American",26
"Breakfast and Brunch, salad, Sandwich, Healthy, American, Chicken",26
"Thai, Family Friendly",26
"American, Breakfast and Brunch, Coffee and Tea, Dinner, Desserts, Salads, Steak, Sandwich, Healthy, Family Meals",26
"Healthy, Salads, Soup",26
"Asian, Chinese",26
"Asian, Japanese, Healthy, Sushi",26
"Chinese, Family Friendly",26
"Bubble Tea, Coffee and Tea, Juice",26
"Alcohol, Liquor Stores, Drinks, Wine",26
"American, Sandwich, Comfort Food",26
"Breakfast and Brunch, American, Comfort Food, Kids Friendly, Mexican",26
"Thai, Asian, Noodles, Alcohol",25
"Pizza, Italian, Pasta",25
"American, Desserts, Kids Friendly",25
"Pizza, American, Italian, Wings",25
"Seafood, Fast Food, Fish and Chips, American, Family Meals",25
"American, Sandwich, Fast Food",25
"Flowers, florist, Gift Store",25
"Burgers, American, Sandwiches, Family Meals, Comfort Food, Pasta, Salads, Steak, Wings, Burgers",25
"American, Burgers, Sandwiches, Chicken, Desserts",25
"Burgers, Sandwich, American, Bar Food",25
"American, Breakfast and Brunch, Coffee and Tea",24
"European, Modern European, German",24
"American, Burgers, Group Friendly",24
"Mexican, Latin American, New Mexican, Group Friendly",24
"Wings, American, Chicken",24
"Mexican, New Mexican, Comfort Food",24
"Asian, Chinese, Noodles",24
"American, Fast Food, Comfort Food, Fried Chicken, Family Meals, Family Friendly",24
"Alcohol, Liquor Stores, Drinks",24
"American, burger, Family Meals",24
"Burritos, Mexican, Tacos",24
"Sushi, Japanese",24
"Comfort Food, American, Wings, Alcohol",24
"New American, Sandwiches, Comfort Food",24
"Healthy, Family Meals",24
"Burgers, Bar Food, American, Family Meals",24
"American, Breakfast and Brunch, Sandwich",24
"Deli, Sandwich",24
"Sandwich, American, Burgers",24
"Fast Food, Italian, pizza, wings, Family Meals",23
"American, Wings, Burgers",23
"Bakery, Cafe",23
"pizza, Sandwich",22
"Sushi, Japanese, Asian",22
"Healthy, Salads",22
"Gift Store, Baby, Retail",22
"Healthy, Chicken, Salads, Sandwich, American, Comfort Food",22
"Asian, Japanese, Sushi",22
"Japanese, Asian",22
"Thai, Asian, Noodles, Family Friendly",22
"Alcohol, Liquor Stores",22
"Mexican, Latin American, Tacos",22
"Mediterranean, Greek, Vegetarian, Alcohol",22
"Mexican, Family Friendly",21
"Chicken, Sandwich, Family Meals",21
"Alcohol, Drinks, Liquor Stores, Wine",21
Bakery,21
"Breakfast and Brunch, salad, Sandwich, Pizza, Healthy, American, Chicken",21
"American, Healthy, Sandwich",21
"Latin American, Mexican, New American, Family Meals, Family Friendly",21
"American, Sandwich, Salads, Healthy",21
"Bakery, Desserts, Donuts",21
"Burgers, American, Sandwich",21
"Pizza, American, Italian, Alcohol",21
"Sandwich, Salads",21
"Seafood, American, Southern, Family Meals",20
"American, Steak",20
"Healthy, Pasta, American, Italian, Comfort Food, Noodles, Family Meals",20
"American, Comfort Food, Deli, Desserts, Dinner, Fast Food, pizza, salad, Sandwich, Everyday Essentials, Convenience, Grocery, Snacks, Home &amp; Personal Care",20
"Vietnamese, Noodles, Asian",20
"Burgers, American, Fast Food, Traditional American, Comfort Food",20
"Desserts, PIzza, Wings",20
"American, Sandwich, Chicken, Fast Food, Kids Friendly",20
Middle Eastern,20
"Sandwich, Salads, Family Meals, Healthy",20
"American, Fast Food, Comfort Food, Kids Friendly",20
"Mexican, Family Meals",20
"Bakery, Desserts, Snacks",19
"wings, Italian, Fast Food, pizza",19
"American, Chicken, Sandwich",19
"American, Burgers, Comfort Food, Family Meals",19
"American, Breakfast and Brunch, Cafe, Omelette, Traditional American, Family Meals",19
"Specialty Foods, Gift Store",19
"American, Breakfast and Brunch, burger, Comfort Food, Dinner, Omelette, salad, Traditional American",19
"Comfort Food, American, Wings, Family Meals",19
"BBQ, American, Burgers, Family Meals",19
"Pizza, Pasta, Salads",19
"Japanese, Family Friendly",19
"American, Wings, Salads, Family Meals, Healthy",19
"Mexican, Burritos, Breakfast and Brunch",19
"Juice and Smoothies, Fast Food, Healthy",19
Korean,19
"Sandwich, American, Fast Food",18
"Ice Cream + Frozen Yogurt, Desserts, Kids Friendly",18
Breakfast and Brunch,18
"American, Seafood, Family Meals",18
"Mexican, New Mexican, Tex Mex",18
"Mexican, Burritos, Bowls, Salads",18
"Italian, Pasta, Comfort Food, Family Meals",18
"Pizza, Italian, American",18
"Convenience, Everyday Essentials, Snacks",18
"Thai, Asian",18
"Pizza, Comfort Food",18
"Pizza, Italian, Comfort Food",18
Asian Fusion,18
"American, BBQ, Family Meals",18
"American, Fried Chicken, Fast Food, Sandwich, Family Meals, Southern",18
"African, Ethiopian, Vegetarian",18
"Japanese, Asian, Sushi, Family Friendly",17
"Burgers, American, Sandwiches, Comfort Food, Chicken, Family Meals",17
"American, Sandwiches, Comfort Food",17
"Tex Mex, Mexican, Family Meals",17
"Chicken, Salads, Asian, Chinese, Asian Fusion, Family Meals, Family Friendly",17
"Sandwich, Salads, Healthy, Family Meals",17
"Chinese, Noodles",17
"Healthy, Juice and Smoothies",17
"Desserts, Ice Cream + Frozen Yogurt, Snacks",17
"Japanese, Sushi, Rolls",17
"Mexican, Breakfast and Brunch",17
"American, Sandwiches, Salads",17
"Italian, Pasta, Salads",17
"American, Sandwiches, Breakfast and Brunch",17
"American, Fried Chicken, Fast Food, Sandwich, Family Meals, Southern, Group Friendly",17
"Mexican, Latin American, New Mexican, Family Meals, Family Friendly",17
"American, Sandwich, Desserts",17
"Bakery, Comfort Food, Desserts, Family Meals",17
"Asian, Chinese, Chicken",17
"American, Breakfast &amp; Brunch, Comfort Food, Desserts, Family Friendly",17
"Sandwich, Deli, American",17
"Asian, Mongolian, Vegetarian Friendly, Chinese",17
"Bakery, Comfort Food, Desserts, Pretzel",17
Asian,17
"Burgers, American, Fast Food",17
"Comfort Food, Fried Chicken, Traditional American",17
"American, Sandwiches, Chicken",16
"Juice and Smoothies, Healthy",16
"Italian, Pasta, Comfort Food, Family Friendly",16
"Asian, Asian Fusion, Chinese",16
"Sushi, Asian, Japanese, Family Friendly",16
"Italian, Family Friendly",16
"American, Salads, Sandwich, Healthy",16
"Indian, Family Friendly",16
"Healthy, Açaí, Ice Cream + Frozen Yogurt",16
"Breakfast and Brunch, American, Dinner, Bakery",16
"Desserts, Ice Cream + Frozen Yogurt, American",16
"American, Chicken, Comfort Food",16
"Flowers, Gift Store",16
"Italian, pizza, wings",16
"Convenience, Snacks, Everyday Essentials, Alcohol",16
"American, Sandwiches",16
"Sandwich, American, Kids Friendly",16
"Chicken Strips, Fast Food, Fried Chicken, Family Meals",16
"Healthy, Mexican, Group Friendly",16
"American, Salads, Comfort Food, Fried Chicken",16
Ethiopian,16
"American, Pizza",16
"Indian, Vegetarian Friendly",16
"Sandwich, Salads, Healthy",16
"American, Breakfast and Brunch, Coffee and Tea, Diner, Desserts, Salads, Steak, Sandwich, Healthy, Family Meals",15
"Coffee and Tea, Juice and Smoothies",15
"Mexican, New Mexican, Tacos",15
"Juice and Smoothies, Healthy, Bowls, Breakfast and Brunch",15
"Latin American, Tex Mex, Salvadorian",15
"Thai, Asian, Noodles, Group Friendly",15
"Japanese, Sushi, Family Friendly",15
"Italian, Pizza, Pasta, Family Meals",15
"Mexican, Burritos, Tacos, Quesadillas",15
"Breakfast and Brunch, Burritos, American, Mexican, Comfort Food, Family Friendly",15
"Everyday Essentials, Grocery, Convenience, Home &amp; Personal Care, Snacks",15
"Thai, Asian, Noodles, Allergy Friendly",15
"American, Fast Food, Ice Cream &amp; Frozen Yogurt",15
"Chicken Strips, Fast Food, Fried Chicken",15
"American, Fast Food",15
"Peruvian, Latin American, Seafood",15
"Desserts, Kids Friendly",15
"Pizza, American, Salads",15
"Chicken Strips, Salads, Sanwiches, Steak",15
"Mediterranean, Greek",15
"Burgers, American, Wings",15
"Bakery, Desserts, Comfort Food",15
"Salads, Sandwich, Deli, Desserts, Healthy",15
"Pizza, Wings",15
"Juice and Smoothies, Cafe, Breakfast and Brunch, Vegan, Vegetarian, Healthy, Açaí, Ice Cream + Frozen Yogurt",14
"Sandwich, Fast Food, American, Burgers, Sandwiches",14
"Pizza, Desserts, Salads, American, Healthy, Vegetarian Friendly, Kids Friendly, Family Friendly",14
"Mediterranean, Middle Eastern",14
"Flowers, Plant Based",14
"Pizza, American, Italian, Allergy Friendly",14
"Pizza, Salads, Desserts, Healthy",14
"Fast Food, Burgers, Salads, Burritos, American, Healthy",14
"American, Breakfast and Brunch, Comfort Food",14
"Healthy, Juice and Smoothies, Desserts",14
"Sandwiches, American, Healthy, Alcohol",14
"American, Burgers, Comfort Food, Pasta, Sandwich",14
"Breakfast and Brunch, Desserts",14
"Sandwich, Salads, Traditional American, Fast Food, Healthy",14
"Pizza, Salads, Pasta",14
"Snacks, Convenience, Everyday Essentials",14
"Everyday Essentials, Convenience, Grocery, Snacks, Home &amp; Personal Care",14
"wings, Family Friendly",14
"Bakery, Comfort Food, Donuts",14
"Wings, American, Fast Food, Comfort Food, Kids Friendly",14
"Wings, Asian, Chicken, Family Friendly",14
"Desserts, Pastry",14
"American, Pizza, Italian",14
pizza,14
New American,14
"Desserts, Ice Cream + Frozen Yogurt, Juice Bars",14
"Burgers, American, Sandwiches, Steak, Seafood, Salads, BBQ, Healthy",14
"Wings, American",14
"American, Family Friendly",14
"American, Burgers, Salads",13
"Greek, Mediterranean",13
"Breakfast and Brunch, American, Family Meals",13
"Pizza, Italian, Salads, Healthy",13
"Chicken, Salads, Asian, Chinese, Asian Fusion, Thai, Family Meals, Family Friendly",13
"Pizza, American, Italian, Family Friendly",13
"Seafood, Family Meals",13
"Italian, Pasta, Comfort Food, Allergy Friendly",13
"Asian, Desserts, Juice and Smoothies, Bubble Tea",13
"Desserts, American, Comfort Food",13
"Asian, Chinese, Family Friendly",13
"Sushi, Asian, Japanese, Alcohol",13
"American, Comfort Food, Breakfast and Brunch",13
Ice Cream &amp; Frozen Yogurt,13
"Seafood, American",13
Sandwiches,13
"Wings, Fried Chicken, Fast Food, Soul Food, American",13
"Convenience, Everyday Essentials, Home &amp; Personal Care",13
"BBQ, American, Sandwich",13
"Steak, American, Seafood",13
"Ice Cream &amp; Frozen Yogurt, Desserts, Family Friendly, Kids Friendly",13
"Bar Food, Burgers, Wings",13
"American, Bar Food, Wings, Chicken, Burgers, Alcohol",13
"Pizza, Italian, Salads",12
"Middle Eastern, Mediterranean",12
"Desserts, Comfort Food, Snacks",12
"Black-owned, Burgers, American, Sandwiches",12
"Wings, American, Comfort Food",12
"European, Modern European, Sandwiches",12
"Mediterranean, Family Meals",12
"American, Sandwich, Chicken",12
"Asian, Asian Fusion, Rice-bowls, Vegetarian Friendly, Chinese",12
"American, Desserts, Pastry",12
"Italian, Family Meals, Family Friendly",12
"Bar Food, American, Burgers, Sandwiches, Burgers",12
"Breakfast &amp; Brunch, Donuts, Coffee and Tea",12
"pizza, Family Meals",12
"American, Fast Food, Comfort Food",12
"Hot Dog, Sandwich, American, Fast Food",12
Healthy,12
"American, Exclusive to Eats",12
"Sushi, Asian, Japanese, Allergy Friendly",12
"South East Asian, Seafood, Chicken",12
"American, Breakfast and Brunch",12
"Alcohol, Wine",12
"Burgers, American, Comfort Food",12
"Italian, Pizza, Family Friendly",12
"Comfort Food, Fried Chicken, Traditional American, Wings",12
"Sandwich, Burgers, American, Fast Food, Chicken, Breakfast and Brunch",12
"Salads, Vegetarian Friendly, American",12
"Salads, American, Vegetarian, Healthy",12
"Italian, Pizza, Alcohol",11
"Chinese, Noodles, Asian",11
"Sandwich, Salads, American, Healthy",11
"American, Steak, BBQ, Alcohol",11
"Coffee and Tea, American, Breakfast and Brunch, Exclusive to Eats",11
"Burgers, Healthy, Plant Based",11
"Italian, Pasta",11
"Mexican, Seafood",11
"Italian, Pizza, Wings",11
"American, Sandwiches, Cheesesteak, Alcohol",11
"Bubble Tea, Coffee and Tea, Juice, Family Meals",11
"Pizza, Traditional American",11
"American, Burgers, Breakfast and Brunch",11
Bubble Tea,11
"Asian, Asian Fusion",11
"Pizza, American, Keto, Plant Based",11
"American, Comfort Food, Dinner, pasta, pizza, salad, Soup, Family Meals",11
"Korean, Asian, Asian Fusion",11
"Burgers, American, Fast Food, Comfort Food, Kids Friendly",11
"Seafood, American, Comfort Food",11
"Comfort Food, Cajun, Southern, Seafood",11
"Grocery, Convenience, Home &amp; Personal Care, Everyday Essentials",11
"Breakfast and Brunch, American, Sandwiches, Allergy Friendly",11
"Alcohol, Liquor Stores, Wine, Convenience",11
"Pizza, Italian, Family Friendly",11
"American, Sandwich, Salads, Vegetarian Friendly",11
"Desserts, Coffee and Tea, Comfort Food",11
"BBQ, American",11
"American, Comfort Food, Healthy",11
Greek,11
"Bakery, Desserts, Pastry",11
"Pizza, Italian, Desserts",10
"Everyday Essentials, Convenience, Snacks, Home &amp; Personal Care, Alcohol",10
"Pizza, Wings, Pasta",10
"Burgers, American, Chicken",10
"Chinese, Asian, Asian Fusion, Alcohol",10
"American, Bar Food",10
"Latin American, Mexican, New American, Family Meals",10
"Mexican, Tex Mex, Breakfast and Brunch",10
"Burgers, American, Breakfast and Brunch",10
Tex Mex,10
"American, Italian, Pizza",10
"Desserts, American",10
"Tex Mex, Mexican",10
"American, Salads, Comfort Food, Fried Chicken, Family Meals, Healthy",10
"Asian Fusion, Asian, Vietnamese",10
"Latin American, Mexican",10
"Wings, American, Fast Food, Family Meals",10
"Healthy, Salads, American, Vegetarian, Fast Food",10
"Fast Food, Sandwich",10
"American, Fried Chicken, Group Friendly",10
"Chicken, Mexican, Grocery, Tex Mex",10
"Mexican, Latin American, Comfort Food",10
"Sandwich, Soup",10
"Desserts, Comfort Food",10
"Asian Fusion, Asian, Chinese",10
Sushi,10
"Drinks, Wine, Liquor Stores",10
"Fast Food, Sandwiches, Deli",10
Cafe,10
"Mexican, Latin American, New Mexican, Breakfast and Brunch",10
"Asian, Asian Fusion, Japanese",10
"Mexican, Chicken, Tacos, Family Friendly",10
"Mexican, Tex Mex, Family Meals",10
"Desserts, Bakery, Pastry",10
"Comfort Food, Fried Chicken, Wings",10
"Grocery, Everyday Essentials, American, Convenience",10
"Vietnamese, Noodles, Healthy, Family Friendly",10
"Pizza, American, Italian, Family Meals",10
"Pizza, Salads, American, Healthy",10
"Cajun, Seafood",10
"American, burger",10
"Mexican, Bowls, Tacos, Burritos",10
"Thai, Asian, Vegetarian Friendly",10
"Chinese, Asian, Asian Fusion, Group Friendly",10
"Desserts, Cupcakes",10
"Seafood, American, Southern, Family Friendly",10
"Alcohol, Drinks, Liquor Stores",10
"Breakfast and Brunch, Family Meals, Family Friendly",10
"Indian, Vegetarian, Asian, Allergy Friendly",10
"Mexican, Group Friendly",10
"wings, Chicken, American",10
"Bakery, Breakfast and Brunch, Desserts",10
"Fast Food, American, Family Meals, Family Friendly",10
"Sushi, Japanese, Family Friendly",10
"Mexican, Tacos, Breakfast and Brunch",9
"American, Wings, Fast Food, Chicken",9
"Pizza, Family Friendly",9
"Mexican, Desserts",9
"American, Sandwich, Deli",9
"Chicken, Sandwiches, American",9
"Mexican, Latin American, New Mexican, Family Friendly, Group Friendly",9
"Alcohol, Wine, Liquor Stores",9
"Mexican, Vegetarian Friendly",9
"Pizza, Pasta, Italian",9
"Vegetarian, Plant Based, Healthy",9
"Sandwich, Fast Food",9
